30 Hilbert basis elements
30 extreme rays
18 support hyperplanes

embedding dimension = 6
rank = 6 (maximal)
external index = 1

size of partial triangulation   = 1
resulting sum of |det|s = 2

No implicit grading found

rank of class group = 12
class group is free

***********************************************************************

30 Hilbert basis elements:
 0 0 0 0 0 1
 0 0 0 0 1 1
 0 0 0 1 0 1
 0 0 0 1 1 1
 0 0 1 0 0 1
 0 0 1 0 1 1
 0 0 1 1 1 1
 0 1 0 0 1 1
 0 1 0 1 0 1
 0 1 0 1 1 1
 0 1 1 0 0 2
 0 1 1 0 1 1
 0 1 1 1 1 1
 0 2 1 0 1 2
 1 0 1 0 1 1
 1 0 1 1 0 2
 1 0 1 1 1 1
 1 1 0 1 1 1
 1 1 0 2 0 2
 1 1 1 0 1 2
 1 1 1 1 0 2
 1 1 1 1 1 1
 1 2 1 0 2 2
 1 2 1 1 1 2
 2 0 2 1 1 2
 2 1 1 1 1 2
 2 1 1 2 0 3
 2 1 1 2 1 2
 2 2 1 1 2 2
 3 1 2 2 1 3

30 extreme rays:
 0 0 0 0 0 1
 0 0 0 0 1 1
 0 0 0 1 0 1
 0 0 0 1 1 1
 0 0 1 0 0 1
 0 0 1 0 1 1
 0 0 1 1 1 1
 0 1 0 0 1 1
 0 1 0 1 0 1
 0 1 0 1 1 1
 0 1 1 0 0 2
 0 1 1 0 1 1
 0 1 1 1 1 1
 0 2 1 0 1 2
 1 0 1 0 1 1
 1 0 1 1 0 2
 1 0 1 1 1 1
 1 1 0 1 1 1
 1 1 0 2 0 2
 1 1 1 0 1 2
 1 1 1 1 0 2
 1 1 1 1 1 1
 1 2 1 0 2 2
 1 2 1 1 1 2
 2 0 2 1 1 2
 2 1 1 1 1 2
 2 1 1 2 0 3
 2 1 1 2 1 2
 2 2 1 1 2 2
 3 1 2 2 1 3

18 support hyperplanes:
 -1 -1 -1  1  1 1
 -1 -1  0  0  1 1
 -1 -1  1  1  1 0
 -1  0  0  0  0 1
 -1  0  0  1  1 0
 -1  0  1  1  0 0
 -1  1  1  0  0 0
  0 -1 -1  0  1 1
  0 -1  0  0  0 1
  0  0 -1 -1  1 1
  0  0 -1  0  0 1
  0  0  0 -1  0 1
  0  0  0  0 -1 1
  0  0  0  0  1 0
  0  0  0  1  0 0
  0  0  1  0  0 0
  0  1  0  0  0 0
  1  0  0  0  0 0

