47 lattice points in polytope (module generators)
0 Hilbert basis elements of recession monoid
59 vertices of polyhedron
0 extreme rays of recession cone
20 support hyperplanes of polyhedron (homogenized)

embedding dimension = 7
affine dimension of the polyhedron = 4
rank of recession monoid = 0 (polyhedron is polytope)

dehomogenization:
0 0 0 0 0 0 1 


module rank = 47

***********************************************************************

47 lattice points in polytope (module generators):
 0 3 3 3 2 4 1
 0 3 4 1 3 4 1
 0 4 1 4 2 4 1
 0 4 2 2 3 4 1
 0 4 2 3 1 5 1
 0 4 3 0 4 4 1
 0 4 3 1 2 5 1
 0 5 0 4 1 5 1
 0 5 1 2 2 5 1
 0 5 2 0 3 5 1
 1 2 2 4 2 4 1
 1 2 3 2 3 4 1
 1 2 3 3 1 5 1
 1 2 4 0 4 4 1
 1 2 4 1 2 5 1
 1 2 4 2 0 6 1
 1 3 1 3 3 4 1
 1 3 1 4 1 5 1
 1 3 2 1 4 4 1
 1 3 2 2 2 5 1
 1 3 2 3 0 6 1
 1 3 3 0 3 5 1
 1 3 3 1 1 6 1
 1 4 0 2 4 4 1
 1 4 0 3 2 5 1
 1 4 1 1 3 5 1
 2 0 4 2 3 4 1
 2 0 5 1 2 5 1
 2 1 2 3 3 4 1
 2 1 2 4 1 5 1
 2 1 3 1 4 4 1
 2 1 3 2 2 5 1
 2 1 3 3 0 6 1
 2 1 4 0 3 5 1
 2 1 4 1 1 6 1
 2 2 0 4 3 4 1
 2 2 0 5 1 5 1
 2 2 1 2 4 4 1
 2 2 1 3 2 5 1
 2 2 1 4 0 6 1
 2 2 2 1 3 5 1
 2 2 2 2 1 6 1
 2 2 3 0 2 6 1
 2 3 0 2 3 5 1
 3 0 3 1 3 5 1
 3 0 3 2 1 6 1
 3 1 2 1 2 6 1

0 Hilbert basis elements of recession monoid:

59 vertices of polyhedron:
  0  3  3  3  2   4  1
  0  3  4  1  3   4  1
  0  4  1  4  2   4  1
  0  4  3  0  4   4  1
  0  5  0  4  1   5  1
  0  5  2  0  3   5  1
  0 14  4  9  1  17  3
  0 14  7  3  4  17  3
  1  2  2  4  2   4  1
  1  2  4  0  4   4  1
  1  2  4  2  0   6  1
  1  4  0  2  4   4  1
  1  8  0  8  5   8  2
  1  9 16  9  9  16  4
  1 17  7 11  0  24  4
  1 22  0 22  8  22  5
  2  2  0  4  3   4  1
  2  2  0  5  1   5  1
  2  3  0  2  3   5  1
  2  5 14  5  5  14  3
  2 13  4  0 13  13  3
  3  0  3  2  1   6  1
  3  1  2  1  2   6  1
  4  5  0  9  0  12  2
  4 11  4  0 11  15  3
  4 26 19 11  0  45  7
  6  1  6  0  6  11  2
  7  0  7 12  7  12  3
  7  0 12  2 12  12  3
  7  0 14  0 10  14  3
  8  0 13  0  8  16  3
  8  1  7 11  0  18  3
  8 17  0  8 21  21  5
  8 27  8  0 31  31  7
  9  0  9  1 13  13  3
  9  0 11  0  9  16  3
  9  4 22  9  0  31  5
  9 13 13  0  9  31  5
  9 20 20  9  0  47  7
 11  0 11  6 16  16  4
 11  4  7 23  7  23  5
 11 11  0 13 20  20  5
 11 11  0 23  0  30  5
 13  0 18 13  0  31  5
 13  0 28 18 18  28  7
 13  0 36 10 10  36  7
 15  0 16  0 22  22  5
 15  0 34 11  4  41  7
 15  1 14  1 22  22  5
 21  1 21  0 31  31  7
 27  0 46  0 46  46 11
 28  0 28 33  0  61 10
 29  0 29 29  0  63 10
 29 29  0 29 29  64 12
 29 29  0 58  0  79 13
 29 29 29  0 29  79 13
 43 43  0 43 78  78 19
 58 29 29 29 29 126 20
 58 29 29 58  0 141 21

0 extreme rays of recession cone:

20 support hyperplanes of polyhedron (homogenized):
 -14 12   9   6   3 0 0
  -4 -9  15  10   5 0 0
  -1 -1   1   1   1 0 0
  -1  0   0   1   1 0 0
  -1  0   1   1   0 0 0
  -1  1   1   0   0 0 0
   0  0   0   0   1 0 0
   0  0   0   1   0 0 0
   0  0   1   0   0 0 0
   0  1   0   0   0 0 0
   1  0   0   0   0 0 0
   6 -1  -8  14   7 0 0
  16  7  -2 -11   9 0 0
  26 15   4  -7 -18 0 0
  46  2 -13   1  15 0 0
  46  2  16   1 -14 0 0
  46 31 -13 -28  15 0 0
  46 31 -13   1 -14 0 0
  46 31  16 -28 -14 0 0
  46 31  16   1 -43 0 0

2 equations:
 1 0 -1 -2 -3 -4  31
 0 1  2  3  4  5 -46

5 basis elements of generated  lattice:
 1 0 0 0 -5   4 0
 0 1 0 0 -4   3 0
 0 0 1 0 -3   2 0
 0 0 0 1 -2   1 0
 0 0 0 0 29 -14 1

